date,Temp,Rel Hum,Wind Spd,Dew Point Temp,Stn_Press,Wind Dir,weekdays,days,num_accidents
2017-02-04,-6.7,68.125,5.583333333333333,-11.6625,101.07291666666669,20.33333333333333,1,5,49
2017-02-05,-2.5166666666666666,75.29166666666667,8.0,-6.45,99.92875,18.95833333333333,1,6,40
2017-02-06,-10.65,71.66666666666667,6.75,-14.941666666666668,100.90875,28.916666666666668,0,0,56
2017-02-07,-10.120833333333334,89.08333333333333,10.083333333333334,-11.608333333333334,100.56583333333332,4.333333333333333,0,1,70
2017-02-08,-0.8208333333333333,76.25,7.916666666666667,-4.683333333333334,99.18625,23.666666666666668,0,2,73
2017-02-09,-13.216666666666669,60.625,9.916666666666666,-19.279166666666665,100.365,18.375,0,3,71
2017-02-10,-14.2125,56.083333333333336,6.0,-21.23333333333333,100.99541666666666,21.83333333333333,0,4,63
2017-02-11,-12.525,85.20833333333333,10.333333333333334,-14.529166666666669,100.85833333333332,3.75,1,5,60
2017-02-12,-9.691666666666666,93.45833333333331,9.083333333333334,-10.533333333333331,100.58833333333332,6.666666666666667,1,6,75
2017-02-13,-5.15,85.29166666666667,8.958333333333334,-7.329166666666667,100.07083333333333,13.125,0,0,92
2017-02-14,-5.375,78.625,5.333333333333333,-8.545833333333333,100.05125,18.58333333333333,0,1,82
2017-02-15,-4.629166666666666,97.54166666666669,10.458333333333334,-4.966666666666667,98.87041666666666,7.375,0,2,102
2017-02-16,-3.633333333333333,86.66666666666667,8.833333333333334,-5.641666666666667,99.12375,16.416666666666668,0,3,88
2017-02-17,-4.916666666666667,71.375,6.375,-9.35,99.91208333333331,20.25,0,4,68
2017-02-18,1.2833333333333334,69.0,7.125,-3.870833333333333,99.18625,19.541666666666668,1,5,55
2017-02-19,5.1625000000000005,72.25,8.041666666666666,0.45,99.71041666666667,16.916666666666668,1,6,43
2017-02-20,-1.5136363636363634,59.36363636363637,6.454545454545454,-8.513636363636364,101.60954545454544,23.285714285714285,0,0,48
2017-02-21,-0.1791666666666666,61.333333333333336,5.708333333333333,-6.920833333333333,101.27,19.45833333333333,0,1,56
2017-02-22,4.229166666666667,78.75,3.875,0.8333333333333334,100.37,19.39130434782609,0,2,52
2017-02-23,8.0625,80.91666666666667,6.0,4.920833333333333,99.56541666666668,18.30434782608696,0,3,53
2017-02-24,3.1041666666666665,89.33333333333333,7.958333333333333,1.4625,100.27041666666666,16.833333333333332,0,4,52
2017-02-25,2.6791666666666667,96.70833333333331,8.916666666666666,2.1958333333333333,99.20083333333334,14.875,1,5,53
2017-02-26,-2.0083333333333333,63.458333333333336,6.958333333333333,-8.133333333333333,100.08625,21.625,1,6,49
2017-02-27,2.6958333333333333,60.29166666666666,7.75,-4.4,101.03541666666666,21.70833333333333,0,0,41
2017-02-28,3.020833333333333,60.79166666666666,4.583333333333333,-3.891666666666666,101.40041666666669,17.458333333333332,0,1,40
2017-03-01,5.670833333333333,92.08333333333331,4.958333333333333,4.358333333333333,98.68958333333336,16.291666666666668,0,2,48
2017-03-02,-4.579166666666667,72.5,6.958333333333333,-8.941666666666666,99.31125,21.33333333333333,0,3,54
2017-03-03,-11.1125,57.375,7.083333333333333,-18.008333333333333,101.44708333333334,28.375,0,4,57
2017-03-04,-15.170833333333334,54.625,8.916666666666666,-22.454166666666666,102.50916666666666,23.916666666666668,1,5,45
2017-03-05,-11.779166666666669,49.0,5.708333333333333,-20.695833333333333,102.90625,26.20833333333333,1,6,49
2017-03-06,-4.920833333333333,55.29166666666666,5.958333333333333,-12.7875,102.21,13.958333333333334,0,0,51
2017-03-07,2.3666666666666667,88.70833333333333,6.916666666666667,0.6208333333333332,100.84125,16.73913043478261,0,1,75
2017-03-08,6.129166666666666,72.125,8.166666666666666,0.7333333333333334,99.76833333333332,20.33333333333333,0,2,33
2017-03-09,-1.525,51.66666666666666,6.708333333333333,-10.383333333333333,100.13625,20.541666666666668,0,3,33
2017-03-10,-8.616666666666667,63.04166666666666,9.333333333333334,-14.529166666666669,100.46791666666668,14.5,0,4,70
