"Id_Intersection","Date","Longitude","Latitude","Intersection_1","Intersection_2","Autos","Bus","Camions","Camions articules","Camions legers","Camions Lourds","Camions porteurs","Motos","Pietons","Tous","Velos"
136,2017-02-21,-73.626831,45.512258,"Barclay","Wilderton",4768,77,73,0,0,0,0,0,845,0,1
138,2018-04-19,-73.553342,45.509088,"Gosford","Notre-Dame/Saint-Claude",2698,71,0,1,0,0,52,0,1781,0,97
139,2019-04-17,-73.634787,45.493108,"Bourret","Victoria",7025,80,0,0,0,103,0,0,2850,0,112
140,2018-03-20,-73.555414,45.497651,"Queen","Wellington",6050,173,253,0,0,0,0,0,7059,0,6
140,2018-03-21,-73.555414,45.497651,"Queen","Wellington",6204,168,216,0,0,0,0,0,6919,0,10
141,2021-10-27,-73.615617,45.495399,"Côte-des-Neiges","Decelles",12870,249,0,14,0,0,251,0,1796,0,37
142,2021-10-27,-73.62431,45.497236,"Côte-des-Neiges","Edouard-Montpetit",9288,211,0,6,0,0,183,0,6996,0,53
146,2018-08-07,-73.630033,45.499892,"Côte-des-Neiges","La Peltrie",19364,392,0,0,0,412,0,0,8669,0,33
146,2018-08-08,-73.630033,45.499892,"Côte-des-Neiges","La Peltrie",19180,383,0,0,0,417,0,0,7634,0,28
146,2018-08-09,-73.630033,45.499892,"Côte-des-Neiges","La Peltrie",19730,385,0,0,0,420,0,0,8533,0,40
149,2021-10-27,-73.619034,45.49502,"Côte-des-Neiges","Queen-Mary",14142,408,0,20,0,0,379,0,4859,0,59
152,2021-10-27,-73.632186,45.500856,"Côte-des-Neiges","Van Horne",14427,365,0,16,0,0,335,0,5274,0,30
153,2018-08-07,-73.621288,45.505473,"Côte-Sainte-Catherine","Darlington",18003,139,0,0,0,359,0,0,2274,0,111
153,2018-08-08,-73.621288,45.505473,"Côte-Sainte-Catherine","Darlington",18743,144,0,0,0,338,0,0,2065,0,124
153,2018-08-09,-73.621288,45.505473,"Côte-Sainte-Catherine","Darlington",19787,136,0,0,0,374,0,0,2166,0,110
153,2019-09-17,-73.621288,45.505473,"Côte-Sainte-Catherine","Darlington",3439,12,0,0,0,78,0,0,2213,0,76
153,2019-09-18,-73.621288,45.505473,"Côte-Sainte-Catherine","Darlington",3728,14,0,0,0,80,0,0,2410,0,78
153,2019-09-19,-73.621288,45.505473,"Côte-Sainte-Catherine","Darlington",3705,19,0,0,0,95,0,0,2265,0,76
158,2019-11-19,-73.629518,45.496371,"Côte-Sainte-Catherine","Légaré",21145,264,0,0,0,401,0,0,7452,0,8
158,2019-11-20,-73.629518,45.496371,"Côte-Sainte-Catherine","Légaré",21162,269,0,0,0,389,0,0,7790,0,6
158,2019-11-21,-73.629518,45.496371,"Côte-Sainte-Catherine","Légaré",20579,262,0,0,0,396,0,0,7624,0,5
163,2018-06-14,-73.625553,45.507866,"Darlington","Van Horne",9463,152,0,8,0,0,187,0,1813,0,85
163,2018-09-20,-73.625553,45.507866,"Darlington","Van Horne",9560,149,0,19,0,0,175,0,2356,0,278
164,2018-06-14,-73.622505,45.499269,"Decelles","Edouard-Montpetit",9217,186,0,4,0,0,125,0,0,0,97
164,2018-09-20,-73.622505,45.499269,"Decelles","Edouard-Montpetit",9804,188,0,8,0,0,120,0,4493,0,440
167,2017-03-21,-73.629496,45.5024,"Decelles","Linton",6554,29,93,0,0,0,0,0,1265,0,3
169,2021-04-20,-73.630449,45.502849,"Decelles","Van Horne",7488,194,0,0,0,191,0,0,1170,0,19
172,2019-06-06,-73.615209,45.507293,"Edouard-Montpetit","Stirling",6093,339,0,2,0,0,186,0,2705,0,2147
172,2019-06-09,-73.615209,45.507293,"Edouard-Montpetit","Stirling",2913,188,0,3,0,0,6,0,1824,0,1267
173,2019-04-17,-73.629956,45.490948,"Edouard-Montpetit","Victoria",8370,75,0,0,0,131,0,0,1088,0,154
175,2017-10-04,-73.622343,45.530129,"Jean-Talon","Parc",18355,416,596,0,0,0,0,0,4749,0,195
175,2017-10-05,-73.622343,45.530129,"Jean-Talon","Parc",18092,420,514,0,0,0,0,0,4578,0,163
175,2017-11-01,-73.622343,45.530129,"Jean-Talon","Parc",18099,399,559,0,0,0,0,0,4433,0,55
175,2017-11-02,-73.622343,45.530129,"Jean-Talon","Parc",18067,380,537,0,0,0,0,0,4088,0,47
178,2019-02-20,-73.650547,45.500574,"Kindersley","Savane",8812,80,0,0,0,159,0,0,367,0,5
179,2018-08-07,-73.62901,45.490523,"Lacombe","Victoria",13407,122,0,0,0,259,0,0,1189,0,35
179,2018-08-08,-73.62901,45.490523,"Lacombe","Victoria",13484,129,0,0,0,249,0,0,1124,0,34
179,2018-08-09,-73.62901,45.490523,"Lacombe","Victoria",13911,119,0,0,0,252,0,0,1186,0,45
179,2019-09-17,-73.62901,45.490523,"Lacombe","Victoria",14335,156,0,0,0,221,0,0,1627,0,79
