,date,Temp,Rel Hum,Wind Spd,Dew Point Temp,Stn_Press,Wind Chill,Wind Dir,weekdays,days
168,2012-06-17,23.175,60.5,6.666666666666667,14.95,100.88333333333333,,18.875,1,6
169,2012-06-18,21.85,61.16666666666666,8.166666666666666,13.883333333333333,100.69625,,18.791666666666668,0,0
170,2012-06-19,23.3,69.33333333333333,6.208333333333333,17.308333333333334,100.61166666666666,,20.75,0,1
171,2012-06-20,27.525,65.875,5.833333333333333,20.370833333333334,100.43833333333332,,24.625,0,2
172,2012-06-21,28.383333333333336,60.083333333333336,6.208333333333333,19.575,99.95166666666668,,22.166666666666668,0,3
173,2012-06-22,25.075,57.0,5.416666666666667,15.545833333333334,99.90583333333332,,26.541666666666668,0,4
174,2012-06-23,22.3125,45.333333333333336,10.0,9.066666666666666,100.41375,,12.916666666666666,1,5
175,2012-06-24,21.641666666666666,49.833333333333336,4.625,10.166666666666666,100.42833333333334,,25.181818181818183,1,6
176,2012-06-25,17.345833333333335,78.5,5.75,13.416666666666666,99.76791666666666,,22.916666666666668,0,0
177,2012-06-26,15.954166666666667,78.33333333333333,8.625,12.1375,99.63291666666667,,20.08333333333333,0,1
178,2012-06-27,17.825,77.29166666666667,5.5,13.733333333333334,99.48541666666668,,24.95833333333333,0,2
179,2012-06-28,21.558333333333334,63.66666666666666,4.25,14.0375,99.68375,,26.45833333333333,0,3
180,2012-06-29,24.96666666666667,59.54166666666666,6.416666666666667,15.7875,99.16333333333334,,21.5,0,4
181,2012-06-30,24.35833333333333,54.625,5.75,14.458333333333334,99.38375,,21.666666666666668,1,5
182,2012-07-01,22.620833333333334,56.79166666666666,7.291666666666667,13.5375,100.04416666666668,,21.375,1,6
183,2012-07-02,21.929166666666664,59.125,5.666666666666667,13.283333333333331,100.31958333333334,,27.91304347826087,0,0
184,2012-07-03,22.316666666666663,54.208333333333336,5.25,12.125,100.29541666666668,,22.125,0,1
185,2012-07-04,22.6125,78.33333333333333,6.125,18.541666666666668,99.75791666666667,,24.0,0,2
186,2012-07-05,21.6625,66.70833333333333,6.75,15.116666666666667,100.21916666666668,,15.391304347826088,0,3
187,2012-07-06,25.516666666666666,63.25,5.041666666666667,17.8625,100.16875,,24.20833333333333,0,4
188,2012-07-07,25.5875,52.0,6.625,14.8,100.00041666666668,,20.58333333333333,1,5
