"Date","Autos","Autres","Bus","Camions","Camions.articules","Camions.legers","Camions.Lourds","Camions.porteurs","Ecoliers","Illegaux","Motos","Non.Utilise","Pietons","Tous","Velos","Cluster_1","Cluster_2","Cluster_3","Cluster_4","Cluster_5","Cluster_6","Cluster_7","Cluster_8","Cluster_9","Cluster_10"
"2012-09-13",7467,0,245,218,0,0,0,0,0,0,0,0,131,0,36,0,0,0,0,0,1,0,0,0,0
"2012-09-18",54747,0,719,1693,0,0,0,0,0,0,0,0,6985,0,1477,0,0,0,0,2,0,2,0,1,0
"2012-09-19",51557,0,559,1944,0,0,319,0,0,0,0,4,9335,0,720,0,1,0,0,0,0,0,1,0,2
"2012-09-20",20238,0,0,464,0,0,0,0,0,504,0,0,316,0,15,0,0,0,0,0,2,0,0,0,0
"2012-09-25",14193,0,308,281,0,0,0,0,0,0,0,0,138,0,64,0,0,0,0,0,0,1,0,0,0
"2012-09-27",23010,0,611,599,0,0,0,0,0,0,0,2,507,0,108,0,0,0,0,1,0,0,0,1,1
"2012-10-18",21057,0,428,909,0,0,0,0,0,0,0,0,2360,0,154,0,0,0,0,0,0,1,0,0,0
"2012-10-24",39164,0,846,1620,0,0,0,0,0,0,0,0,3623,0,226,0,0,0,0,2,0,0,0,0,0
"2012-10-26",116240,0,1626,5042,0,0,0,0,0,366,0,2,6602,0,376,0,0,1,1,1,0,0,0,1,1
"2012-11-13",15455,0,464,828,0,0,0,0,12,0,0,0,4339,0,234,0,0,0,0,1,0,0,1,0,0
"2012-11-20",3833,0,23,96,0,0,0,0,0,0,0,0,1720,0,31,0,0,0,0,0,0,0,0,0,1
"2012-12-04",84183,0,837,2473,0,0,0,0,149,0,0,0,3481,0,129,1,1,1,1,0,0,0,0,0,0
"2012-12-05",104713,0,1076,2592,0,0,0,0,54,0,0,0,2752,0,422,1,0,0,2,0,0,0,0,0,2
"2012-12-06",118008,0,1415,3865,0,0,0,0,75,0,0,161,6127,0,779,1,0,1,0,1,0,0,1,3,0
"2012-12-12",7403,0,46,272,0,0,0,0,0,0,0,0,269,0,23,0,0,1,0,0,0,0,0,0,0
"2012-12-13",46432,0,580,1824,0,0,0,0,7,0,0,0,6813,0,984,0,0,0,1,1,1,0,0,0,1
"2012-12-26",4904,0,0,144,0,0,0,0,0,0,0,3,754,0,63,0,0,0,0,0,0,1,0,0,0
"2013-01-22",4806,0,90,282,0,0,0,0,0,0,0,0,14,0,0,0,0,0,1,0,0,0,1,0,0
"2013-02-05",42248,0,683,1038,0,0,0,0,7,0,0,0,8515,0,225,0,0,0,0,1,0,0,0,0,1
"2013-02-14",5508,0,120,129,0,0,0,0,0,0,0,0,9269,0,86,0,0,1,0,0,0,0,0,0,0
"2013-02-18",17545,0,239,612,0,0,0,0,0,0,0,1,2526,0,28,0,0,1,0,0,0,0,0,1,0
"2013-02-25",18062,0,0,0,0,330,310,0,0,0,0,0,198,0,0,0,0,0,1,0,0,0,0,0,0
"2013-02-26",80861,0,4117,2806,0,0,0,0,0,0,0,17,6220,0,46,1,1,0,0,1,0,2,0,0,0
"2013-03-12",32847,0,130,880,0,0,0,0,0,0,0,1,3408,0,23,2,1,1,1,1,0,1,0,1,0
"2013-03-13",5028,0,0,404,0,0,0,0,0,0,0,0,5424,0,10,1,0,0,0,0,0,0,0,0,0
"2013-03-26",7882,0,0,531,0,0,0,0,0,75,0,0,266,0,20,0,0,0,0,1,0,0,0,0,0
"2013-03-27",22797,0,0,1489,0,0,0,0,0,317,0,0,994,0,12,0,1,0,0,0,0,0,1,0,0
"2013-04-02",32293,0,0,1502,0,0,0,0,0,2,0,26,9422,0,140,0,1,0,1,0,0,0,0,2,1
"2013-04-03",22516,0,0,1240,0,0,0,0,0,0,0,18,4366,0,169,1,0,0,0,2,0,0,1,0,1
"2013-04-04",52885,0,514,3162,0,0,126,0,0,0,0,0,4321,0,458,1,1,1,0,1,1,0,1,0,0
"2013-04-09",81981,0,1083,1773,0,0,0,0,0,0,0,1,1330,0,154,0,2,2,1,0,1,2,2,2,0
"2013-04-10",6093,0,0,186,0,0,0,0,0,0,0,3,219,0,63,0,0,1,0,0,0,0,0,0,0
"2013-04-16",15891,0,0,613,0,0,69,0,0,0,0,10,0,0,0,1,0,0,0,0,0,0,0,0,0
"2013-04-17",11735,0,110,372,0,0,0,0,0,0,0,0,1379,0,73,0,0,0,1,0,1,0,0,0,0
"2013-04-18",14439,0,235,418,0,0,54,0,0,0,0,0,2113,0,0,0,0,0,0,0,0,0,0,1,0
"2013-04-23",89686,0,1246,2150,0,0,0,0,0,0,0,5,5063,0,614,0,0,1,0,3,2,0,0,0,0
"2013-04-24",54574,0,640,1276,0,0,0,0,0,0,0,5,2373,0,374,0,0,1,0,0,0,2,0,0,0
"2013-05-01",5456,0,160,146,0,0,0,0,0,0,0,0,3232,0,4122,0,0,0,0,0,0,0,0,1,0
"2013-05-14",22006,0,179,663,0,0,0,0,0,0,0,1,360,0,143,0,1,0,0,0,0,0,0,0,0
"2013-05-23",46927,0,627,1599,0,0,0,0,0,0,0,0,3780,0,529,1,0,0,0,0,0,0,0,1,1
"2013-05-30",49153,0,388,1259,0,0,0,0,0,0,0,2,3755,0,788,1,0,0,1,0,1,0,0,0,1
"2013-06-06",24645,0,0,609,0,0,0,0,0,0,0,0,2933,0,246,0,0,1,0,0,0,0,0,0,0
"2013-06-20",12728,0,69,309,0,0,0,0,0,70,0,0,209,0,169,0,1,0,2,0,0,0,0,0,0
"2013-09-11",10998,0,465,305,0,0,0,0,0,0,0,0,4312,0,307,0,0,0,0,0,0,0,1,0,0
"2013-09-12",45249,0,1778,1356,0,0,0,0,0,0,0,0,5862,0,218,0,1,0,1,1,0,1,0,1,0
"2013-09-17",100548,0,1114,4487,0,0,0,0,0,0,0,3,4003,0,212,0,1,0,1,0,0,1,1,1,0
