"Date","NB_Accidents","NB_VEH_IMPLIQUES_ACCDN","NB_MORTS","NB_BLESSES_GRAVES","NB_BLESSES_LEGERS","NB_VICTIMES_TOTAL","nb_automobile_camion_leger","nb_camionLourd_tractRoutier","nb_outil_equipement","nb_tous_autobus_minibus","nb_bicyclette","nb_cyclomoteur","nb_motocyclette","nb_taxi","nb_urgence","nb_motoneige","nb_VHR","nb_autres_types","nb_veh_non_precise","NB_DECES_PIETON","NB_BLESSES_PIETON","NB_VICTIMES_PIETON","NB_DECES_MOTO","NB_BLESSES_MOTO","NB_VICTIMES_MOTO","NB_DECES_VELO","NB_BLESSES_VELO","NB_VICTIMES_VELO","SeverityDeadly","SeverityLight Injury","SeverityMaterial High","SeverityMaterial Low","SeveritySevere Injury","as.factor(Accident_Type)31","as.factor(Accident_Type)32","as.factor(Accident_Type)33","as.factor(Accident_Type)34","as.factor(Accident_Type)35","as.factor(Accident_Type)36","as.factor(Accident_Type)37","as.factor(Accident_Type)38","as.factor(Accident_Type)39","as.factor(Accident_Type)40","as.factor(Accident_Type)41","as.factor(Accident_Type)42","as.factor(Accident_Type)43","as.factor(Accident_Type)44","as.factor(Accident_Type)45","as.factor(Accident_Type)46","as.factor(Accident_Type)47","as.factor(Accident_Type)48","as.factor(Accident_Type)49","as.factor(Accident_Type)50","as.factor(Accident_Type)51","as.factor(Accident_Type)52","as.factor(Accident_Type)53","as.factor(Accident_Type)54","as.factor(Accident_Type)55","as.factor(Accident_Type)59","as.factor(Accident_Type)71","as.factor(Accident_Type)72","as.factor(Accident_Type)73","as.factor(Accident_Type)74","as.factor(Accident_Type)75","as.factor(Accident_Type)99","Accident_CategoryFixed Object","Accident_CategoryMoving Object","Accident_CategoryNo Collision","Auth_Speed10","Auth_Speed100","Auth_Speed20","Auth_Speed30","Auth_Speed40","Auth_Speed50","Auth_Speed60","Auth_Speed70","Auth_Speed80","Auth_Speed90","Surface_CondDry","Surface_CondHard snow","Surface_CondIce","Surface_CondMud","Surface_CondOil","Surface_CondSand or gravel","Surface_CondSlush","Surface_CondSnow","Surface_CondWater accumulation","Surface_CondWet","IlluminationDay and clear","IlluminationDay and semi-dark","IlluminationNight and dark","IlluminationNight and lighted","EnvironmentCommercial","EnvironmentForest","EnvironmentIndustrial","EnvironmentPark","EnvironmentResidential","EnvironmentRural","EnvironmentSchool area","WeatherBlack Ice","WeatherClear Sky","WeatherCloudy","WeatherDrizzle","WeatherFoggy","WeatherHeavy Rain","WeatherSnow","WeatherSnowstorms","WeatherStrong Wind","Temp","Rel.Hum","Wind.Spd","Dew.Point.Temp","Stn_Press","Wind.Dir","weekdays","days","cluster_id_0","cluster_id_1","cluster_id_2","cluster_id_3","cluster_id_4","cluster_id_5"
2012-01-21,110,228,0,0,12,12,159,3,6,0,1,0,0,4,5,0,0,0,50,0,2,2,0,0,0,0,1,1,0,9,48,53,0,88,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,1,1,0,0,0,0,0,0,0,0,0,0,7,91,0,0,0,2,1,19,33,0,0,0,0,13,17,19,0,0,0,3,19,0,22,53,4,0,30,48,0,2,1,48,0,1,0,63,23,0,0,0,0,0,0,-1541.83333333333,6975.83333333333,641.666666666667,-2148.66666666667,11190.3,1714.16666666667,110,550,8,14,27,19,14,28
2012-01-22,63,125,0,0,6,6,92,0,0,0,0,0,0,0,0,0,0,1,32,0,2,2,0,0,0,0,0,0,0,6,27,30,0,52,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,54,0,0,0,0,0,8,22,0,0,0,0,11,2,11,0,0,0,7,9,0,14,24,0,0,26,24,0,2,0,31,0,0,0,40,11,0,0,0,0,0,0,-783.0375,4793.25,288.75,-996.7125,6442.5375,994.875,63,378,6,5,18,15,9,10
2012-01-23,97,185,0,3,21,24,124,7,1,2,0,0,0,3,1,0,0,1,46,0,9,9,0,0,0,0,0,0,0,17,20,58,2,77,11,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,90,1,0,0,0,3,16,36,0,1,0,0,8,2,3,0,0,0,2,12,0,51,44,3,1,30,43,0,2,0,41,0,2,0,34,17,21,0,5,1,0,0,-65.475,7949.95833333333,582,-329.8,9781.19708333333,2072.27272727273,0,0,12,5,25,19,14,22
2012-01-24,96,189,0,1,11,12,126,5,2,2,1,0,0,0,4,0,0,0,49,0,4,4,0,0,0,0,0,0,0,10,32,53,1,78,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,5,83,1,0,0,0,2,9,25,0,0,0,0,14,2,7,0,0,0,0,2,1,51,58,4,0,18,51,0,1,0,30,0,6,0,38,31,8,0,1,1,0,0,287.6,7484,768,-49.6,9620.24,1968,0,96,9,11,30,14,8,24
2012-01-25,75,144,0,0,14,14,96,6,1,3,0,0,0,1,3,0,0,0,34,0,4,4,0,0,0,0,0,0,0,12,28,35,0,53,5,0,0,0,0,0,0,0,1,0,2,1,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,8,58,0,0,0,0,0,8,28,0,1,0,0,36,0,7,0,0,0,2,1,0,11,40,2,0,18,29,0,5,0,30,0,2,1,50,5,1,0,0,0,0,0,-260.3125,4821.875,468.75,-695.9375,7602.96875,1840.625,0,150,9,6,21,18,9,12
2012-01-26,85,169,0,0,13,13,127,7,1,1,1,0,0,4,1,0,0,0,27,0,2,2,0,0,0,0,0,0,0,11,29,45,0,68,2,1,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,73,0,0,0,0,0,6,39,0,1,0,0,43,1,2,0,0,0,2,17,0,7,48,5,0,21,42,0,4,1,29,0,2,0,54,8,0,0,0,6,0,0,-494.770833333333,5393.95833333333,538.333333333333,-996.979166666667,8605.71875,1260.83333333333,0,255,10,4,24,15,15,17
2012-01-27,186,381,0,0,40,40,283,13,4,1,0,0,0,7,4,0,0,1,68,0,6,6,0,0,0,0,0,0,0,30,89,67,0,154,7,0,0,0,0,0,0,0,2,1,4,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,13,161,2,3,0,0,3,26,90,1,0,0,0,6,3,71,1,0,0,21,45,1,26,49,24,1,101,93,0,7,1,78,0,3,21,16,22,39,2,1,64,4,0,-279,17042.25,1356.25,-495.225,18438.8,2086.4347826087,0,744,28,16,47,30,24,41
2012-01-28,80,156,0,1,14,15,111,4,1,1,1,0,0,5,4,0,0,0,29,0,1,1,0,0,0,0,0,0,0,11,23,45,1,63,1,1,0,0,0,0,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,7,65,3,1,0,0,0,11,34,0,0,0,0,4,5,14,0,0,0,5,18,1,22,34,1,1,33,41,0,5,1,30,1,0,1,41,19,0,0,0,4,0,1,45,6270,520,-222.333333333333,8000.43333333333,1610,80,400,9,6,22,11,11,21
2012-01-29,71,137,0,0,7,7,98,1,0,0,0,0,0,1,1,0,0,0,36,0,2,2,0,0,0,0,0,0,0,6,28,37,0,50,3,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,5,53,1,0,0,0,2,10,23,0,0,0,0,15,3,10,0,0,0,6,13,0,12,32,2,0,24,28,0,2,0,36,0,0,0,48,6,1,0,0,1,0,1,-42.6,4366.5,594.625,-508.241666666667,7113.78583333333,1567.91666666667,71,426,5,7,19,7,13,20
2012-01-30,85,164,0,0,10,10,113,6,1,0,0,0,0,0,6,0,0,2,36,0,7,7,0,0,0,0,0,0,0,9,30,46,0,66,6,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5,73,1,3,0,0,1,9,23,0,0,0,1,42,2,9,0,0,1,1,11,0,5,50,5,1,17,49,0,2,1,24,0,1,0,62,8,0,0,0,1,0,0,-596.770833333333,5153.125,417.916666666667,-1144.3125,8599.6625,1993.95833333333,0,0,7,8,23,18,7,22
