"Date","SeverityDeadly","SeverityLight.Injury","SeverityMaterial.High","SeverityMaterial.Low","SeveritySevere.Injury","Accident_CategoryFixed.Object","Accident_CategoryMoving.Object","Accident_CategoryNo.Collision","Auth_Speed10","Auth_Speed100","Auth_Speed20","Auth_Speed30","Auth_Speed40","Auth_Speed50","Auth_Speed60","Auth_Speed70","Auth_Speed80","Auth_Speed90","Surface_CondDry","Surface_CondHard.snow","Surface_CondIce","Surface_CondMud","Surface_CondOil","Surface_CondSand.or.gravel","Surface_CondSlush","Surface_CondSnow","Surface_CondWater.accumulation","Surface_CondWet","IlluminationDay.and.clear","IlluminationDay.and.semi.dark","IlluminationNight.and.dark","IlluminationNight.and.lighted","EnvironmentCommercial","EnvironmentForest","EnvironmentIndustrial","EnvironmentPark","EnvironmentResidential","EnvironmentRural","EnvironmentSchool.area","WeatherBlack.Ice","WeatherClear.Sky","WeatherCloudy","WeatherDrizzle","WeatherFoggy","WeatherHeavy.Rain","WeatherSnow","WeatherSnowstorms","WeatherStrong.Wind","Temp","Rel.Hum","Wind.Spd","Dew.Point.Temp","Stn_Press","Wind.Dir","weekdays","days"
2012-02-25,0,3,10,14,0,4,20,1,0,0,0,0,6,15,0,0,0,0,0,0,0,0,0,0,2,21,0,4,18,2,0,6,11,0,0,0,16,0,0,0,6,1,0,0,0,20,0,0,-2.19166666666667,84.125,5.04166666666667,-4.57083333333333,98.48875,23.85,1,5
2012-02-26,0,2,9,11,0,2,15,2,0,0,0,0,3,4,0,0,0,0,6,2,2,0,0,0,0,9,0,1,7,1,1,9,7,0,0,0,13,0,2,0,16,1,0,0,0,2,0,0,-8.85416666666667,56.0833333333333,6.16666666666667,-16.175,101.675416666667,25.7083333333333,1,6
2012-02-27,0,3,11,11,0,3,21,0,0,0,0,2,3,13,0,0,0,0,5,0,0,0,0,0,0,12,0,3,13,0,0,8,8,0,0,0,14,0,1,0,10,6,0,0,0,4,0,0,-7.62083333333333,71.0833333333333,7.375,-12.075,101.387916666667,8.43478260869565,0,0
2012-02-28,0,1,8,16,0,1,22,0,0,0,0,0,5,11,0,0,0,0,4,2,1,0,0,0,2,8,0,7,15,2,0,7,11,0,1,0,13,0,0,0,18,3,0,0,0,3,0,0,-5.825,68.1666666666667,5.95833333333333,-10.9083333333333,101.858333333333,22.875,0,1
2012-02-29,0,2,5,11,0,2,16,0,0,0,0,0,2,8,0,0,0,0,6,0,1,0,0,0,0,1,0,5,12,2,0,2,6,0,0,0,10,1,0,0,12,2,0,0,0,0,0,0,-6.1375,65.6666666666667,6.45833333333333,-11.6583333333333,101.56625,9.79166666666667,0,2
2012-03-01,0,6,17,12,0,0,32,0,0,0,0,1,3,12,0,0,0,0,0,0,0,0,0,0,0,27,0,0,18,1,0,10,14,0,0,0,13,0,0,0,3,1,0,0,0,18,5,0,-4.60416666666667,88.8333333333333,7.83333333333333,-6.17083333333333,100.374166666667,3.91666666666667,0,3
2012-03-02,0,3,7,12,0,1,19,0,0,0,0,0,4,7,0,0,0,0,2,0,0,0,0,0,1,15,0,2,14,0,0,6,6,0,1,0,15,0,0,0,9,5,1,0,0,5,0,0,-3.74166666666667,87.5,6.54166666666667,-5.50833333333333,100.578333333333,7.54166666666667,0,4
2012-03-03,0,0,10,9,0,2,15,0,0,0,0,0,3,9,0,0,0,0,0,0,2,0,0,0,2,9,0,3,8,2,0,6,5,0,0,0,13,0,0,0,5,4,1,0,0,2,1,3,2.87916666666667,71.9583333333333,10.4583333333333,-1.96666666666667,98.6625,18.875,1,5
2012-03-04,0,1,5,8,0,1,10,1,0,0,0,0,1,8,0,0,0,0,6,1,2,0,0,0,0,4,0,1,7,0,0,7,6,0,0,0,8,0,0,0,11,2,0,0,0,0,1,0,-5.12916666666667,59.9166666666667,5.95833333333333,-11.7625,99.4308333333333,26,1,6
2012-03-05,0,2,9,14,0,1,24,0,0,0,0,0,3,10,0,0,0,0,11,0,1,0,0,0,1,3,0,6,11,2,0,7,10,0,0,0,12,0,0,0,17,4,0,0,0,1,0,0,-12.4041666666667,57.7916666666667,6.45833333333333,-19.1083333333333,100.825,25.7916666666667,0,0
